# fields=10 strings=0,1,2,3,4,5,6,7,8,9
"Character\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","","Character\Human\Male\HumanMaleSkin00_00.blp","","",""
"haracter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","Character\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_01.blp","","",""
"aracter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","haracter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_02.blp","","",""
"racter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","aracter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_03.blp","","",""
"acter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","racter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_04.blp","","",""
"cter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","acter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_05.blp","","",""
"ter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","cter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_06.blp","","",""
"er\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","ter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_07.blp","","",""
"r\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","er\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_08.blp","","",""
"\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","r\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_09.blp","","",""
"Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","","Character\Human\Male\HumanMaleSkin00_100.blp","","","Character\Human\Male\HumanMaleSkin00_00.blp"
"uman\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","Character\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_101.blp","","","Character\Human\Male\HumanMaleSkin00_00.blp"
"man\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","haracter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_102.blp","","","Character\Human\Male\HumanMaleSkin00_00.blp"
"an\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","aracter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_103NecroBlue.blp","","","Character\Human\Male\HumanMaleSkin00_00.blp"
"n\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","racter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_104WizardFel.blp","","","Character\Human\Male\HumanMaleSkin00_00.blp"
"\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","acter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_105WizardArcane.blp","","","Character\Human\Male\HumanMaleSkin00_00.blp"
"Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","cter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMale_Magic.blp","","","Character\Human\Male\HumanMaleSkin00_00.blp"
"ale\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","ter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMale_Pirate.blp","","","Character\Human\Male\HumanMaleSkin00_00.blp"
"le\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","Character\Human\Male\HumanMaleSkin00_00.blp","","","Character\Human\Male\HumanMaleFaceLower00_00.blp","Character\Human\Male\HumanMaleFaceUpper00_00.blp","",""
"e\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","Character\Human\Male\HumanMaleSkin00_00.blp","","Character\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleFaceLower00_01.blp","Character\Human\Male\HumanMaleFaceUpper00_01.blp","",""
"\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","Character\Human\Male\HumanMaleSkin00_00.blp","","haracter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleFaceLower00_02.blp","Character\Human\Male\HumanMaleFaceUpper00_02.blp","",""
"HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","Character\Human\Male\HumanMaleSkin00_00.blp","","aracter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleFaceLower00_03.blp","Character\Human\Male\HumanMaleFaceUpper00_03.blp","",""
