# fields=10 strings=0,1,2,3,4,5,6,7,8,9
"Character\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","","Character\Human\Male\HumanMaleSkin00_00.blp","","",""
"haracter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","Character\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_01.blp","","",""
"aracter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","haracter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_02.blp","","",""
"racter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","aracter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_03.blp","","",""
"acter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","racter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_04.blp","","",""
"cter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","acter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_05.blp","","",""
"ter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","cter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_06.blp","","",""
"er\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","ter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_07.blp","","",""
"r\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","er\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_08.blp","","",""
"\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","r\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_09.blp","","",""
"MaleFaceLower03_08.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","","Character\Human\Male\HumanMaleSkin00_100.blp","","","Character\Human\Male\HumanMaleSkin00_00.blp"
"\Human\Male\HumanMaleFaceUpper04_04.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","","","Character\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_101.blp","","","Character\Human\Male\HumanMaleSkin00_00.blp"
"lp","Character\Human\Male\HumanMaleSkin00_00.blp","","Character\Human\Male\HumanMaleSkin00_00.blp","","","Character\Human\Male\HumanMaleFaceLower00_00.blp","Character\Human\Male\HumanMaleFaceUpper00_00.blp","",""
"p","Character\Human\Male\HumanMaleSkin00_00.blp","","Character\Human\Male\HumanMaleSkin00_00.blp","","Character\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleFaceLower00_01.blp","Character\Human\Male\HumanMaleFaceUpper00_01.blp","",""
"","Character\Human\Male\HumanMaleSkin00_00.blp","","Character\Human\Male\HumanMaleSkin00_00.blp","","haracter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleFaceLower00_02.blp","Character\Human\Male\HumanMaleFaceUpper00_02.blp","",""
"Character\Human\Male\HumanMaleFaceUpper04_07.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","Character\Human\Male\HumanMaleSkin00_00.blp","","aracter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleFaceLower00_03.blp","Character\Human\Male\HumanMaleFaceUpper00_03.blp","",""
"haracter\Human\Male\HumanMaleFaceUpper04_07.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","Character\Human\Male\HumanMaleSkin00_00.blp","","racter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleFaceLower00_04.blp","Character\Human\Male\HumanMaleFaceUpper00_04.blp","",""
"aracter\Human\Male\HumanMaleFaceUpper04_07.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","Character\Human\Male\HumanMaleSkin00_00.blp","","acter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleFaceLower00_05.blp","Character\Human\Male\HumanMaleFaceUpper00_05.blp","",""
"racter\Human\Male\HumanMaleFaceUpper04_07.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","Character\Human\Male\HumanMaleSkin00_00.blp","","cter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleFaceLower00_06.blp","Character\Human\Male\HumanMaleFaceUpper00_06.blp","",""
"acter\Human\Male\HumanMaleFaceUpper04_07.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","Character\Human\Male\HumanMaleSkin00_00.blp","","ter\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleFaceLower00_07.blp","Character\Human\Male\HumanMaleFaceUpper00_07.blp","",""
"cter\Human\Male\HumanMaleFaceUpper04_07.blp","Character\Human\Male\HumanMaleSkin00_00.blp","","Character\Human\Male\HumanMaleSkin00_00.blp","","er\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleFaceLower00_08.blp","Character\Human\Male\HumanMaleFaceUpper00_08.blp","",""
