# fields=42 strings=0,1,2,3,4,7,8,9,10,11,13,14,15,19,20,23,24,26,27,29,32,33,35,36,38,39,40
"","Azeroth","","","Eastern Kingdoms",0,0,"Östliche Königreiche","东部王国","Восточные королевства","Reinos del Este","Reinos do Leste",4128830,"","","",4294967295,0,0,"","",0,0,"","",0,"","",4128830,"",0,0,"","",0,"","",4128830,"roth","","Azeroth",1065353216
"Azeroth","Kalimdor","","","Kalimdor",0,0,"Kalimdor","卡利姆多","Калимдор","Kalimdor","Kalimdor",8323134,"","","",4294967295,0,0,"","",0,0,"","",0,"","",4128828,"",0,0,"","",0,"","",4128828,"eroth","","Azeroth",1065353216
"Östliche Königreiche","PVPZone05","eroth","Azeroth","Blood Ring",0,0,"Blutring","竞技场","","Anillo de Sangre","Anel de Sangue",8323134,"","","",4294967295,0,0,"","",0,0,"","",0,"","",4128828,"",0,0,"","",0,"","",4128828,"долина","","Azeroth",1065353216
"�stliche Königreiche","Sunnyglade","eroth","Azeroth","Sunnyglade Valley",0,0,"Tal der Sonnenlichtung","阳光林间山谷","","Valle Claro de Sol","Vale Claro do Sol",8323134,"","","astern Kingdoms",4294967295,0,0,"","",0,0,"","",0,"","",4128828,"",0,0,"","",0,"","",4128828,"олина","","Azeroth",1065353216
"stliche Königreiche","PVPZone05","eroth","Azeroth","Lordaeron Arena",0,0,"Arena von Lordaeron","洛丹伦竞技场","","Arena Lordaeron","Arena Lordaeron",8323134,"","","",4294967295,0,0,"","",0,0,"","",0,"","",4128828,"",0,0,"","",0,"","",4128828,"e de Alterac","","Azeroth",1065353216
"liche Königreiche","PVPZone01","eroth","Azeroth","Alterac Valley",0,0,"Alteractal","奥特兰克山谷","Альтеракская долина","Valle de Alterac","Vale Alterac",4128830,"�部王国","�","igreiche",4294967295,1060991140,1051595899,"","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall's own clan of orcs, the Frostwolves. The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches, and links to their ancestral past. The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.",0,0,"Verborgen im Alteracgebirge liegt das Alteractal, das Zuhause von Thralls Orcklan, den Frostwölfen. Die Zwerge des Sturmlanzenklans haben einen Stützpunkt im Tal errichtet und dringen auf der Suche nach Reichtümern und Hinweisen auf die Vergangenheit ihrer Vorfahren in die Tiefen des Tals vor. Die hier lebenden Frostwölfe, nicht willens, das Eindringen der Zwerge hinzunehmen, haben eine Armee aufgestellt... eine Armee, die nach einer Schlacht für die gerechte Sache giert.","在奥特兰克山脉的深处，是萨尔的嫡系氏族——霜狼氏族的家园，奥特兰克山谷。矮人中的雷矛部族在这里建造了一座要塞，并试图深入山谷寻找宝藏，还有关于他们起源的线索。无法忍受这种侵犯的霜狼氏族已经集结了一支军队，随时准备与敌人展开血战。",0,"Oculto entre las Montañas de Alterac, el Valle de Alterac es el hogar del propio clan de Thrall, los Lobo Gélido. Los enanos Pico Tormenta han establecido una posición en el valle y buscan explorar sus profundidades en busca de riquezas y vínculos con su pasado ancestral. Los territoriales Lobo Gélido, que no están dispuestos a tolerar la incursión enana, han reunido un ejército... un ejército ansioso por una masacre justificada.","Escondido nas Montanhas de Alterac, o Vale de Alterac é o lar do próprio clã de Thrall, os Lobos do Gelo. Os anões Lançatroz estabeleceram uma posição no vale e buscam explorar suas profundezas em busca de riquezas e ligações com seu passado ancestral. Os territoriais Lobos do Gelo, não dispostos a tolerar a invasão anã, reuniram um exército... um exército ávido por um massacre justificado.",4128830,"Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall's own clan of orcs, the Frostwolves. The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches, and links to their ancestral past. The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.",0,0,"Verborgen im Alteracgebirge liegt das Alteractal, das Zuhause von Thralls Orcklan, den Frostwölfen. Die Zwerge des Sturmlanzenklans haben einen Stützpunkt im Tal errichtet und dringen auf der Suche nach Reichtümern und Hinweisen auf die Vergangenheit ihrer Vorfahren in die Tiefen des Tals vor. Die hier lebenden Frostwölfe, nicht willens, das Eindringen der Zwerge hinzunehmen, haben eine Armee aufgestellt... eine Armee, die nach einer Schlacht für die gerechte Sache giert.","在奥特兰克山脉的深处，是萨尔的嫡系氏族——霜狼氏族的家园，奥特兰克山谷。矮人中的雷矛部族在这里建造了一座要塞，并试图深入山谷寻找宝藏，还有关于他们起源的线索。无法忍受这种侵犯的霜狼氏族已经集结了一支军队，随时准备与敌人展开血战。",0,"Escondido entre las Montañas de Alterac, el Valle de Alterac es el hogar del clan de Thrall, los Lobo Gélido. Los enanos Pico Tormenta han establecido una posición en el valle y buscan explorar sus profundidades en busca de riquezas y vínculos con su pasado ancestral. Los territoriales Lobo Gélido, que no están dispuestos a tolerar la incursión enana, han reunido un ejército... un ejército ansioso por una masacre justificada.","Escondido nas Montanhas de Alterac, o Vale de Alterac é o lar do clã de Thrall, os Lobos do Gelo. Os anões Lançatroz estabeleceram uma posição no vale e buscam explorar suas profundezas em busca de riquezas e ligações com seu passado ancestral. Os territoriais Lobos do Gelo, não dispostos a tolerar a invasão anã, reuniram um exército... um exército ávido por um massacre justificado.",4128830,"Reinos del Este","","",1065353216
"he Königreiche","Shadowfang","Azeroth","","Shadowfang Keep",0,0,"Burg Schattenfang","影牙城堡","Крепость Темного Клыка","Castillo de Colmillo Oscuro","Castelo de Colmillo Oscuro",4128830,"","","astern Kingdoms",4294967295,0,0,"","",0,0,"","",0,"","",4128828,"",0,0,"","",0,"","",4128828,"","","Azeroth",1065353216
"e Königreiche","StormwindJail","Azeroth","","Stormwind Stockade",0,0,"Verlies von Sturmwind","暴风城监狱","Тюрьма Штормграда","Masmorras de Ventormenta","Masmorras de Ventobravo",4128830,"","","astern Kingdoms",4294967295,0,0,"valley and seek to plumb its depths for riches, and links to their ancestral past. The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.","",0,0,"","",0,"","",4128828,"",0,0,"","",0,"","",4128828,"g","","Azeroth",1065353216
" Königreiche","StormwindPrison","Azeroth","","Stormwind Vault",0,0,"Gewölbe von Sturmwind","暴风城地牢","<UNUSED> Тюрьма Штормграда","Bóvedas de Ventormenta","Cofre de Ventobravo",4128830,"","","oth",4294967295,0,0,"herbenwelt","",0,0,"","",0,"","",4128828,"",0,0,"","",0,"","",4128828,"ms","","Azeroth",1065353216
"Königreiche","DeadminesInstance","Azeroth","","Deadmines",0,0,"Todesminen","死亡矿井","Мертвые копи","Minas de la Muerte","Minas da Morte",4128830,"","","astern Kingdoms",4294967295,0,0,"","",0,0,"","",0,"","",4128828,"",0,0,"","",0,"","",4128828,"or","","Azeroth",1065353216
